NAME,HOUSENUM,STREETNAME,ADDRESS,ZIP,CITY
Bedford Styuvesant E.C.D.C. Inc.,214,STUYVESANT AVENUE,214 STUYVESANT AVENUE,11221,Brooklyn
Bridge St. Head Start,281,STUYVESANT AVENUE,281 STUYVESANT AVENUE,11221,Brooklyn
Urban Strategies Dcc #1,1091,SUTTER AVENUE,1091 SUTTER AVENUE,11208,Brooklyn
Ywca Montessori Day School,30,THIRD AVENUE,30 THIRD AVENUE,11217,Brooklyn
Children's Colony Nursery School,1080,UTICA AVENUE,1080 UTICA AVENUE,11203,Brooklyn
Kiddie's Corner Day Care Center,952,UTICA AVENUE,952 UTICA AVENUE,11203,Brooklyn
"Metropolitan Child Services, Inc. Llc Vernoh Ave Children's School",386,VERNON AVENUE,386 VERNON AVENUE,11206,Brooklyn
Rainbowland Nursery School,39-60,54 STREET,39-60 54 STREET,11377,Woodside
Woodside Montessori Pre-K,39-04,61 STREET,39-04 61 STREET,11377,Woodside
Maspeth Townhall Pre-Sch,53-37,72 STREET,53-37 72 STREET,11378,Maspeth
Avalon Academy Coney Island,2929,WEST 31 STREET,2929 WEST 31 STREET,11224,Brooklyn
Traditional Day Care,1112,WINTHROP STREET,1112 WINTHROP STREET,11212,Brooklyn
Gsu Child Development/Kearning Center,365,5 AVENUE,365 5 AVENUE,10016,New York
Isabella Child Day Care Center,515,AUDUBON AVENUE,515 AUDUBON AVENUE,10040,New York
C.P.C. Jacob Rii Ccc,108,AVENUE D,108 AVENUE D,10009,New York
Project Chance Mcmurray Nursery I/T,44,ROCKWELL PLACE,44 ROCKWELL PLACE,11217,Brooklyn
Hunts Point Head Start,235,CYPRESS AVENUE,235 CYPRESS AVENUE,10454,Bronx
Early Intervention Ctr Of Bklyn Inc.,70,HAVEMEYER STREET,70 HAVEMEYER STREET,11211,Brooklyn
Kind Start Pre-School,7702,NEW UTRECHT AVENUE,7702 NEW UTRECHT AVENUE,11214,Brooklyn
"Mona Prep Day Care, Inc.",144-14,223 STREET,144-14 223 STREET,11413,Springfield Gardens
St. Dominic's Torch,2340,ANDREWS AVENUE,2340 ANDREWS AVENUE,10468,Bronx
Better Beginning Learning Center I/T,1910,ARTHUR AVENUE,1910 ARTHUR AVENUE,10457,Bronx
Shell's Kids Inc.,985,ASTOR AVENUE,985 ASTOR AVENUE,10469,Bronx
El Shaddai Pre-School,2910,BARNES AVENUE,2910 BARNES AVENUE,10467,Bronx
Bx Ed'L Opportunity Ctr. Ccc,1600,BATHGATE AVENUE,1600 BATHGATE AVENUE,10457,Bronx
Sharon Baptist Head Start,1925,BATHGATE AVENUE,1925 BATHGATE AVENUE,10457,Bronx
Bathgate Day Care Ctr,1997,BATHGATE AVENUE,1997 BATHGATE AVENUE,10457,Bronx
United Edu-Care Child Ctr.,3950,BRONXWOOD AVENUE,3950 BRONXWOOD AVENUE,10466,Bronx
These Our Tresures Tots,2778,BRUCKNER BOULEVARD,2778 BRUCKNER BOULEVARD,10465,Bronx
Precious Moments Nursery School A.C. Inc.,3147,BRUCKNER BOULEVARD,3147 BRUCKNER BOULEVARD,10461,Bronx
Happy Time Nursery,42-36,209 STREET,42-36 209 STREET,11361,Bayside
Young Israel Windsor Pk Ns,67-45,215 STREET,67-45 215 STREET,11364,Oakland Gardens
St. Mary's Hospital&Children,29-01,216 STREET,29-01 216 STREET,11360,Bayside
Our Little Angels Day Care,147-65,249 STREET,147-65 249 STREET,11422,Rosedale
Queensview Nursry&Kindergarten,21-36,33 ROAD,21-36 33 ROAD,11106,Astoria
Little Red Riding Hood Corp.,425,ROGERS AVENUE,425 ROGERS AVENUE,11225,Brooklyn
Get Set Kindergarten School,1919,CORTELYOU ROAD,1919 CORTELYOU ROAD,11226,Brooklyn
Red Hat Day Care Center,1317,EAST 15 STREET,1317 EAST 15 STREET,11230,Brooklyn
Children's Heimeshe Workshop,1524,EAST 17 STREET,1524 EAST 17 STREET,11230,Brooklyn
Maple Leaf Academy Ii,156,CLARKSON AVENUE,156 CLARKSON AVENUE,11226,Brooklyn
Tompkins Hall Ccc,21,CLAREMONT AVENUE,21 CLAREMONT AVENUE,10027,New York
Archdiocese St. Raymond's Hs,1725,CASTLE HILL AVENUE,1725 CASTLE HILL AVENUE,10462,Bronx
Goose Bay 5,100,DREISER LOOP,100 DREISER LOOP,10475,Bronx
Astor-Lawrence F. Hickey Center,4010,DYRE AVENUE,4010 DYRE AVENUE,10466,Bronx
La Casita Pre-Sch,834,EAST 156 STREET,834 EAST 156 STREET,10455,Bronx
Trabajamos Hs,940,EAST 156 STREET,940 EAST 156 STREET,10455,Bronx
Quo Vadis Dcc Inc.,4111,BROADWAY,4111 BROADWAY,10033,New York
Hebrew Institute For Deaf&Exceptional Children,1401,AVENUE I,1401 AVENUE I,11230,Brooklyn
Quality Care Early Childhood Learning Center Inc.,2918,AVENUE I,2918 AVENUE I,11210,Brooklyn
"Meorot Beit Yaakov, Inc.",1123,AVENUE N,1123 AVENUE N,11230,Brooklyn
Tiny Tots Express Pre-School,3321,AVENUE N,3321 AVENUE N,11234,Brooklyn
Haitian American Dcc #1 Inc.,1491,BEDFORD AVENUE,1491 BEDFORD AVENUE,11216,Brooklyn
First Impressions Nursery School-Bedford Branch,2513,BEDFORD AVENUE,2513 BEDFORD AVENUE,11226,Brooklyn
Building Blocks Montessori,55,FOREST AVENUE,55 FOREST AVENUE,10301,Staten Island
Silver Lake Head Start,10,GREGG PLACE,10 GREGG PLACE,10301,Staten Island
Little L.A.Mb. Pre-School Inc.,2,GRIDLEY AVENUE,2 GRIDLEY AVENUE,10303,Staten Island
Smiles Around Us,3854,HYLAN BOULEVARD,3854 HYLAN BOULEVARD,10308,Staten Island
Our P.L.A.C.E. School Inc./T.I.P.S.E/ Inc. Early Advantage Inc.,329,NORWAY AVENUE,329 NORWAY AVENUE,10305,Staten Island
Staten Island Mental Health,16,OSGOOD AVENUE,16 OSGOOD AVENUE,10304,Staten Island
"United Cerebral Palsy Of Nyc , Inc. Staten Island Children's Program",281,PORT RICHMOND AVENUE,281 PORT RICHMOND AVENUE,10302,Staten Island
Si Com Svcs Nur Sch,11,SAMPSON AVENUE,11 SAMPSON AVENUE,10308,Staten Island
Wonder Years Preschool,389,SEAVER AVENUE,389 SEAVER AVENUE,10305,Staten Island
Babes In Toyland,318,SEGUINE AVENUE,318 SEGUINE AVENUE,10309,Staten Island
Oakdale Academy,2734,VICTORY BOULEVARD,2734 VICTORY BOULEVARD,10314,Staten Island
First Foot Forward,485,VICTORY BOULEVARD,485 VICTORY BOULEVARD,10301,Staten Island
The Gingerbread Learning Center Inc.,80,WOODROW ROAD,80 WOODROW ROAD,10312,Staten Island
Little Stars Dcc Inc.,588,BROOKLYN AVENUE,588 BROOKLYN AVENUE,11203,Brooklyn
Practical Learning Ctr,22,BUCKINGHAM ROAD,22 BUCKINGHAM ROAD,11226,Brooklyn
Five Block Day Care Center,995,CARROLL STREET,995 CARROLL STREET,11225,Brooklyn
Community Parents Hs,90,CHAUNCEY STREET,90 CHAUNCEY STREET,11233,Brooklyn
Bwy Inc.,77-14,ROOSEVELT AVENUE,77-14 ROOSEVELT AVENUE,11372,Jackson Heights
Queens Village Day School Annex #3,96-15,SPRINGFIELD BOULEVARD,96-15 SPRINGFIELD BOULEVARD,11429,Queens Village
Afro-American Parents #2,112-06,SUTPHIN BOULEVARD,112-06 SUTPHIN BOULEVARD,11435,Jamaica
Rainbow Montessori International,150-30,UNION TURNPIKE,150-30 UNION TURNPIKE,11367,Flushing
Yai Nyl Clearview School,16-50,UTOPIA PARKWAY,16-50 UTOPIA PARKWAY,11357,Whitestone
We Care Day Care,3948,AMBOY ROAD,3948 AMBOY ROAD,10308,Staten Island
Rainbow Day Care Dba,5394,AMBOY ROAD,5394 AMBOY ROAD,10312,Staten Island
Staten Island Mental Health Hs,100,BRIGHTON AVENUE,100 BRIGHTON AVENUE,10301,Staten Island
Berkeley Carroll Ccc,515,6 STREET,515 6 STREET,11215,Brooklyn
Quality Of Life Child Care,4317,8 AVENUE,4317 8 AVENUE,11232,Brooklyn
Bay Ridge Play Place,345,91 STREET,345 91 STREET,11209,Brooklyn
East River Child Development Center,577,GRAND STREET,577 GRAND STREET,10002,New York
Rocky Mount Day Care,37,HILLSIDE AVENUE,37 HILLSIDE AVENUE,10040,New York
Seventh Avenue Menonnonite Hs,711,LENOX AVENUE,711 LENOX AVENUE,10039,New York
East Tremont Hs,1951,WASHINGTON AVENUE,1951 WASHINGTON AVENUE,10457,Bronx
"H.G. Birch Services, Inc. Watson Ecc",1880,WATSON AVENUE,1880 WATSON AVENUE,10472,Bronx
Crawford Community Dcc,3757,WHITE PLAINS ROAD,3757 WHITE PLAINS ROAD,10467,Bronx
Little World Of Learning,7211,13 AVENUE,7211 13 AVENUE,11228,Brooklyn
"Shira Head Start Spinka I, Ii",5801,15 AVENUE,5801 15 AVENUE,11219,Brooklyn
Creative Learning Center,6810,20 AVENUE,6810 20 AVENUE,11204,Brooklyn
Family Head Start/Universal Pre-K,8885,26 AVENUE,8885 26 AVENUE,11214,Brooklyn
Mother's Love Inc.,1681,49 STREET,1681 49 STREET,11204,Brooklyn
Shira Head Start Gur Council Of Jewish Organizations,1975,51 STREET,1975 51 STREET,11204,Brooklyn
Red Apple Child Dev Ctr,39,ELDRIDGE STREET,39 ELDRIDGE STREET,10002,New York
Morris Park Pre-K Day Care,1400,PELHAM PARKWAY SOUTH,1400 PELHAM PARKWAY SOUTH,10461,Bronx
Kiderific Nursery,1621,PILGRIM AVENUE,1621 PILGRIM AVENUE,10461,Bronx
Miriam Desoyza Learning Center,1180,REV JAMES POLITE AVENUE,1180 REV JAMES POLITE AVENUE,10459,Bronx
Riverdale Comm School,5670,RIVERDALE AVENUE,5670 RIVERDALE AVENUE,10471,Bronx
Labor Sherman Ave Dcc,920,SHERMAN AVENUE,920 SHERMAN AVENUE,10451,Bronx
Little Friends House Iii,Dec-45,150 STREET,16772 150 STREET,11357,Whitestone
Quick Start Head Start,126-22,150 STREET,126-22 150 STREET,11436,Jamaica
Lefferts-Liberty Kiwanis First Step Ecc,82-12,151 AVENUE,82-12 151 AVENUE,11414,Howard Beach
Imagine Early Learning Center,50,MONROE PLACE,50 MONROE PLACE,11201,Brooklyn
Imagine Early Learning Center,50,MONROE PLACE,50 MONROE PLACE,11201,Brooklyn
B.B.C.S. Child Care Center,105,NORTH PORTLAND AVENUE,105 NORTH PORTLAND AVENUE,11205,Brooklyn
Madeline Jones Head Start/Bffy,3415,NEPTUNE AVENUE,3415 NEPTUNE AVENUE,11224,Brooklyn
Morris L. Eisenstein Learning Center,613,NEW LOTS AVENUE,613 NEW LOTS AVENUE,11207,Brooklyn
Williamsburg North Side Pre-School,152,NORTH 5 STREET,152 NORTH 5 STREET,11211,Brooklyn
Let's Care Again Dcc #3,1289,NOSTRAND AVENUE,1289 NOSTRAND AVENUE,11226,Brooklyn
Flatbush Haitian Dcc,1886,NOSTRAND AVENUE,1886 NOSTRAND AVENUE,11226,Brooklyn
Shira Head Start Shaarei Hayosher,1334,OCEAN PARKWAY,1334 OCEAN PARKWAY,11230,Brooklyn
Nat Azarow Dcc,232,POWELL STREET,232 POWELL STREET,11212,Brooklyn
"Huggs Day School, Inc.",763,PRESIDENT STREET,763 PRESIDENT STREET,11215,Brooklyn
Mary Mcleod Bethune Dcc,360,PULASKI STREET,360 PULASKI STREET,11206,Brooklyn
Magalie's Early Intervention,639,REMSEN AVENUE,639 REMSEN AVENUE,11236,Brooklyn
Bedford Stuyvesant E.C.D.C. Inc.,260,JEFFERSON AVENUE,260 JEFFERSON AVENUE,11216,Brooklyn
Bushwick United Hs,153,JOHNSON AVENUE,153 JOHNSON AVENUE,11206,Brooklyn
Cush Campus School,221,KINGSTON AVENUE,221 KINGSTON AVENUE,11213,Brooklyn
Little Red Riding Hood,237,LEFFERTS AVENUE,237 LEFFERTS AVENUE,11225,Brooklyn
Sanctified Learning Center,404,LEFFERTS AVENUE,404 LEFFERTS AVENUE,11225,Brooklyn
Hollingsworth P/S,525,WEST 120 STREET,525 WEST 120 STREET,10027,New York
Antioch Day Care Center,515,WEST 125 STREET,515 WEST 125 STREET,10027,New York
Abyssinian/Annie G. Newsome Hs Ctr.,129,WEST 138 STREET,129 WEST 138 STREET,10030,New York
Harlem International Community School,421,WEST 145 STREET,421 WEST 145 STREET,10031,New York
Asociaciones Dominicanas Dcc,510,WEST 145 STREET,510 WEST 145 STREET,10031,New York
Area 145 Day Care Center,510,WEST 145 STREET,510 WEST 145 STREET,10031,New York
Harlem River Hs,291,WEST 151 STREET,291 WEST 151 STREET,10039,New York
"Your Kids, Our Kids I/T",30,WEST 15 STREET,30 WEST 15 STREET,10011,New York
"Your Kids, Our Kid Pre-School",30,WEST 15 STREET,30 WEST 15 STREET,10011,New York
43rd Street Kid-Preschool,484,WEST 43 STREET,484 WEST 43 STREET,10036,New York
Polly Dodge Center,538,WEST 55 STREET,538 WEST 55 STREET,10019,New York
Open Arms Pre-School,417,WEST 57 STREET,417 WEST 57 STREET,10019,New York
First Friends Pre-Sch,245,WEST 74 STREET,245 WEST 74 STREET,10023,New York
Mandell Nursery School & Kindergarten,127,WEST 94 STREET,127 WEST 94 STREET,10025,New York
Get Set Kindergarten School,623,LINDEN BOULEVARD,623 LINDEN BOULEVARD,11203,Brooklyn
Stuyvesant Hghts Christian Chu,69,MACDONOUGH STREET,69 MACDONOUGH STREET,11216,Brooklyn
"Bedford Stuyvesant Ecdc, Inc.",275,MARCUS GARVEY BOULEVARD,275 MARCUS GARVEY BOULEVARD,11221,Brooklyn
"Cortelyou Early Childhood, Inc. Annex",386,MARLBOROUGH ROAD,386 MARLBOROUGH ROAD,11226,Brooklyn
Community Life Center Mt. Morris Hs,15,MT MORRIS PARK WEST,15 MT MORRIS PARK WEST,10027,New York
"Yai/Nyl, Harry H. Gordon School Annex",54,NAGLE AVENUE,54 NAGLE AVENUE,10040,New York
Garden House School,593,PARK AVENUE,593 PARK AVENUE,10021,New York
Gardenhouse School Of N.Y.,40,SUTTON PLACE,40 SUTTON PLACE,10022,New York
Seton Day Care Center,1675,THIRD AVENUE,1675 THIRD AVENUE,10128,New York
Purple Circle,251,WEST 100 STREET,251 WEST 100 STREET,10025,New York
Cathedral Parkway,125,WEST 109 STREET,125 WEST 109 STREET,10025,New York
Columbia Green House,424,WEST 116 STREET,424 WEST 116 STREET,10027,New York
Rita Gold Ecc Center For Infants & Parents,525,WEST 120 STREET,525 WEST 120 STREET,10027,New York
Christ United Methodist Headstart,4419,SEVENTH AVENUE,4419 SEVENTH AVENUE,11220,Brooklyn
Nuestros Ninos Iii Dc,161,SOUTH 3 STREET,161 SOUTH 3 STREET,11211,Brooklyn
St. Mark's Day Care Ctr,505,E 10 St & 2 Av,505 E 10 St & 2 Av,11238,Brooklyn
Haitian American Dcc #3,813,STERLING PLACE,813 STERLING PLACE,11216,Brooklyn
Unique Start Inc.,1746,STERLING PLACE,1746 STERLING PLACE,11233,Brooklyn
Greater Bright Light Lc,1320,SUTTER AVENUE,1320 SUTTER AVENUE,11208,Brooklyn
St. Martin's Nur & Kdgn,657,VAN SICLEN AVENUE,657 VAN SICLEN AVENUE,11207,Brooklyn
William T. Dillon Child Study,239,VANDERBILT AVENUE,239 VANDERBILT AVENUE,11205,Brooklyn
Jackson Heights Children Center Inc.,77-04,41 AVENUE,77-04 41 AVENUE,11373,Elmhurst
Red Apple Child Development Center,133-32,41 ROAD,133-32 41 ROAD,11355,Flushing
Happy Dragon Dcc,86-02,57 AVENUE,86-02 57 AVENUE,11373,Elmhurst
"Sesame Sprout, Inc.",96-08,57 AVENUE,96-08 57 AVENUE,11368,Corona
Forest Hills Nursery &Kdgn,108-56,69 AVENUE,108-56 69 AVENUE,11375,Forest Hills
Personal Touch Ecc,158-13,72 AVENUE,158-13 72 AVENUE,11365,Fresh Meadows
Ready To Learn,67-52,79 STREET,67-52 79 STREET,11379,Middle Village
St. Ann's Pre-School,26,WILLOW PLACE,26 WILLOW PLACE,11201,Brooklyn
Yeshiva Hs,206,WILSON STREET,206 WILSON STREET,11211,Brooklyn
"Happy Child Day, Inc.",144,WOODRUFF AVENUE,144 WOODRUFF AVENUE,11226,Brooklyn
Elizabeth Seton Pre-School,1675,3 AVENUE,1675 3 AVENUE,10128,New York
Sheltering Arms Dcc,2289,5 AVENUE,2289 5 AVENUE,10037,New York
Grant Dcc,1299,AMSTERDAM AVENUE,1299 AMSTERDAM AVENUE,10027,New York
La Familia Unida Day Care,2346,AMSTERDAM AVENUE,2346 AMSTERDAM AVENUE,10033,New York
Lillian Wald Dcc Of The Educational Alliance,34,AVENUE D,34 AVENUE D,10009,New York
People's Christian Dc,121,RIVERDALE AVENUE,121 RIVERDALE AVENUE,11212,Brooklyn
Little Angels Head Start Program,1720,METROPOLITAN AVENUE,1720 METROPOLITAN AVENUE,10462,Bronx
Yeled V'Yalda Hs,1601,42 STREET,1601 42 STREET,11204,Brooklyn
Congregation Beth Elohim Ecc,169,8 AVENUE,169 8 AVENUE,11215,Brooklyn
Kids Etc,1331,FLATBUSH AVENUE,1331 FLATBUSH AVENUE,11226,Brooklyn
The Salvation Army Bedford Dcc,110,KOSCIUSZKO STREET,110 KOSCIUSZKO STREET,11216,Brooklyn
Elishama Children's Prep School,206-18,HOLLIS AVENUE,206-18 HOLLIS AVENUE,11429,Queens Village
Wonder Kids Academy,227-01,LINDEN BOULEVARD,227-01 LINDEN BOULEVARD,11411,Cambria Heights
Positive Beginnings #2,182-69,WEXFORD TERRACE,182-69 WEXFORD TERRACE,11432,Jamaica
Oakwood Heights Community Church Nursery School,574,FALCON AVENUE,574 FALCON AVENUE,10306,Staten Island
Big Birds Tiny Tots,1859,RICHMOND AVENUE,1859 RICHMOND AVENUE,10314,Staten Island
Giant Steps To A Child's Day Inc./Sister Elizabeth Boyle Glc,75,VANDERBILT AVENUE,75 VANDERBILT AVENUE,10304,Staten Island
Tolentine Zeiser Dcc,2340,ANDREWS AVENUE,2340 ANDREWS AVENUE,10468,Bronx
N.Y Inst.For Early Learning,985,ASTOR AVENUE,985 ASTOR AVENUE,10469,Bronx
Bronxdale Nursery&Kindergarten,1065,BEACH AVENUE,1065 BEACH AVENUE,10472,Bronx
Precious Moments Nursery School A.C. Inc.,3147,BRUCKNER BOULEVARD,3147 BRUCKNER BOULEVARD,10461,Bronx
Colonial Church Nursery School,54-02,217 STREET,54-02 217 STREET,11364,Oakland Gardens
Interdisciplinary Enter For Child Development,35-55,223 STREET,35-55 223 STREET,11361,Bayside
"Laurelton Day Care, Inc. I/T",141-19,224 STREET,141-19 224 STREET,11413,Springfield Gardens
St. Irene Chrysovalantou Nursery&Kingergarten,36-07,23 AVENUE,36-07 23 AVENUE,11105,Astoria
Hermy's Kiddy Corner,133-55,242 STREET,133-55 242 STREET,11422,Rosedale
City College Cdc,111,CONVENT AVENUE,111 CONVENT AVENUE,10027,New York
Village Infant Center,345,WEST 14 STREET,345 WEST 14 STREET,10014,New York
Mom's Center For Ecd,527,ROGERS AVENUE,527 ROGERS AVENUE,11225,Brooklyn
Lefferts Gardens Montessori,559,ROGERS AVENUE,559 ROGERS AVENUE,11225,Brooklyn
C.N.C. Care Center Inc.,647,ROGERS AVENUE,647 ROGERS AVENUE,11226,Brooklyn
Learner's Haven Ecec,432,RUTLAND ROAD,432 RUTLAND ROAD,11203,Brooklyn
Triumphant Dear God Chrisitan Center,892,RUTLAND ROAD,892 RUTLAND ROAD,11203,Brooklyn
Children's First Community Pre-School,360,SCHERMERHORN STREET,360 SCHERMERHORN STREET,11217,Brooklyn
Parkchester Children's Center,2119,STARLING AVENUE,2119 STARLING AVENUE,10462,Bronx
Myrtle Pl Jarmon E.C.E. Center,116-55,GUY BREWER BOULEVARD,116-55 GUY BREWER BOULEVARD,11434,Jamaica
Delmiro Child Care,195-39,HILLSIDE AVENUE,195-39 HILLSIDE AVENUE,11423,Hollis
Holy Martyrs Armenian Day School,209-15,HORACE HARDING EXPRESSWAY,209-15 HORACE HARDING EXPRESSWAY,11364,Oakland Gardens
Int'L Nursery School&Kindergarten,156-07,HORACE HARDING EXPRESSWAY,156-07 HORACE HARDING EXPRESSWAY,11367,Flushing
New Millenium Day Care,172-07,JAMAICA AVENUE,172-07 JAMAICA AVENUE,11432,Jamaica
Queens Village Day Sch Annex #1,219-28,JAMAICA AVENUE,219-28 JAMAICA AVENUE,11428,Queens Village
Kids For The Future Preparatory,220-24,JAMAICA AVENUE,220-24 JAMAICA AVENUE,11428,Queens Village
Jf Kids Port/Bright Horizons Family Solution I/T,,JFK AIRPORT, JFK AIRPORT,11430,Jamaica
Child Development Center At Queens College,65-30,KISSENA BOULEVARD,65-30 KISSENA BOULEVARD,11367,Flushing
Helping Hands Day Care,225-16,LINDEN BOULEVARD,225-16 LINDEN BOULEVARD,11411,Cambria Heights
Le Grand Elite Learning Lab Unv. Pre-K,229-16,LINDEN BOULEVARD,229-16 LINDEN BOULEVARD,11411,Cambria Heights
"Day Care Center@Cuny Law School, Inc.",65-21,MAIN STREET,65-21 MAIN STREET,11367,Flushing
Gryc Little Stars Pre-School,62-02,MYRTLE AVENUE,62-02 MYRTLE AVENUE,11385,Ridgewood
Goose Bay I,4120,HUTCHINSON RIVER PARKWAY,4120 HUTCHINSON RIVER PARKWAY,10475,Bronx
Hunts Point Multi Service Center,630,JACKSON AVENUE,630 JACKSON AVENUE,10455,Bronx
Early Childhood Dimension Ltd,1880,LAFAYETTE AVENUE,1880 LAFAYETTE AVENUE,10473,Bronx
Parkchester Early Learning Center Ii,71,METROPOLITAN OVAL,71 METROPOLITAN OVAL,10462,Bronx
East Tremont Hs,2431,MORRIS AVENUE,2431 MORRIS AVENUE,10468,Bronx
Sacred Heart Ii Hs,1248,NELSON AVENUE,1248 NELSON AVENUE,10452,Bronx
Kennedy Child Study Center,151,EAST 67 STREET,151 EAST 67 STREET,10021,New York
The Buckley Sch,113,EAST 73 STREET,113 EAST 73 STREET,10021,New York
The International P/S,351,EAST 74 STREET,351 EAST 74 STREET,10021,New York
The Town School,540,EAST 76 STREET,540 EAST 76 STREET,10021,New York
Abc Cassidy's Place,419,EAST 86 STREET,419 EAST 86 STREET,10028,New York
Park Avenue Synagogue Ecc,50,EAST 87 STREET,50 EAST 87 STREET,10128,New York
The House Of Little People,122,EAST 91 STREET,122 EAST 91 STREET,10128,New York
House Of Little People,122,EAST 91 STREET,122 EAST 91 STREET,10128,New York
Louis Greene Evelyn Green Davis(Innovative Learning)Imagine Elc,60,EAST 97 STREET,60 EAST 97 STREET,10029,New York
Louis Green&Evelyn Green Davis Ccc,60,EAST 97 STREET,60 EAST 97 STREET,10029,New York
Lexington Children's Ctr 2,183,EAST 98 STREET,183 EAST 98 STREET,10029,New York
Henry Street Settlement Dcc #3,710,EAST 9 STREET,710 EAST 9 STREET,10009,New York
Renanim Of Manhattan,336,EAST 61 STREET,336 EAST 61 STREET,10021,New York
Rena Day Care Center,639,EDGECOMBE AVENUE,639 EDGECOMBE AVENUE,10032,New York
Chinatown Day Care Center Inc.,35,DIVISION STREET,35 DIVISION STREET,10002,New York
Children's Aid Society East Harlem Center Hs,130,EAST 101 STREET,130 EAST 101 STREET,10029,New York
Union Settlement Hs,218,EAST 104 STREET,218 EAST 104 STREET,10029,New York
Step By Step Academy,112-09,FRANCIS LEWIS BOULEVARD,112-09 FRANCIS LEWIS BOULEVARD,11429,Queens Village
Stepping Stone Pre-Sch & Kindergarten Iii,114-38,FRANCIS LEWIS BOULEVARD,114-38 FRANCIS LEWIS BOULEVARD,11411,Cambria Heights
E. Harlem Council Biling Hs,440,EAST 116 STREET,440 EAST 116 STREET,10029,New York
Learning The Arts&Me Nursery,235,EAST 11 STREET,235 EAST 11 STREET,10003,New York
Pequenos Souls Dcc,114,EAST 122 STREET,114 EAST 122 STREET,10035,New York
A Learning Ctr. Inc.,221,EAST 122 STREET,221 EAST 122 STREET,10035,New York
Abc/East Harlem Dcc,206,EAST 124 STREET,206 EAST 124 STREET,10035,New York
Gani Early Childhood Center @Educational Alliance,344,EAST 14 STREET,344 EAST 14 STREET,10003,New York
Escuela Hispana Montessori,296,EAST 4 STREET,296 EAST 4 STREET,10009,New York
Tutor Time @Tremont,4022,EAST TREMONT AVENUE,4022 EAST TREMONT AVENUE,10465,Bronx
Randall Early Childhood Learning Center,916,EAGLE AVENUE,916 EAGLE AVENUE,10456,Bronx
Children'D Big Apple,37-03,94 STREET,37-03 94 STREET,11372,Jackson Heights
Bovov World Wide Hs,83-06,ABINGDON ROAD,83-06 ABINGDON ROAD,11415,Kew Gardens
Hallet Cove Child Dev Ctr,8-Feb,ASTORIA BOULEVARD,43504 ASTORIA BOULEVARD,11102,Astoria
Forest Hills Montessori,67-04,AUSTIN STREET,67-04 AUSTIN STREET,11375,Forest Hills
Christian Training Day Care,14-25,BEACH CHANNEL DRIVE,14-25 BEACH CHANNEL DRIVE,11691,Far Rockaway
Blanche Community Progress Dcc #2,41-05,BEACH CHANNEL DRIVE,41-05 BEACH CHANNEL DRIVE,11691,Far Rockaway
Star America Inc.,80-07,BROADWAY,80-07 BROADWAY,11373,Elmhurst
Star Paradise,86-55,BROADWAY,86-55 BROADWAY,11373,Elmhurst
Red Apple Child Development Center,83-38,CORNISH AVENUE,83-38 CORNISH AVENUE,11373,Elmhurst
St. Albans Outreach Day Care,109-53,FARMERS BOULEVARD,109-53 FARMERS BOULEVARD,11412,Saint Albans
Sharon Baptist Head Start,279,EAST BURNSIDE AVENUE,279 EAST BURNSIDE AVENUE,10457,Bronx
Academics R Us,1339,EAST GUNHILL ROAD,1339 EAST GUNHILL ROAD,10469,Bronx
Flatbush Haitian Dcc,141,EAST 40 STREET,141 EAST 40 STREET,11203,Brooklyn
Christian Learning Ctr Dc,444,EAST 45 STREET,444 EAST 45 STREET,11203,Brooklyn
Creative Learning Center,886,EAST 54 STREET,886 EAST 54 STREET,11234,Brooklyn
Parkway Pre-Sch,888,EAST 56 STREET,888 EAST 56 STREET,11234,Brooklyn
Gayle Academy For Children Inc.,410,EAST 96 STREET,410 EAST 96 STREET,11212,Brooklyn
Calvery Day Care Center,474,EAST 96 STREET,474 EAST 96 STREET,11212,Brooklyn
Yeled V'Yalda Hs,667,EASTERN PARKWAY,667 EASTERN PARKWAY,11213,Brooklyn
Flatbush Ymca Nursery,1401,FLATBUSH AVENUE,1401 FLATBUSH AVENUE,11210,Brooklyn
"Kiddie Patch, Inc.",2634,GERRITSEN AVENUE,2634 GERRITSEN AVENUE,11229,Brooklyn
Graham Ccc,222,GRAHAM AVENUE,222 GRAHAM AVENUE,11206,Brooklyn
Mcdonough St. Head Start,820,HANCOCK STREET,820 HANCOCK STREET,11233,Brooklyn
Hanover Place Child Care Llc,15,HANOVER PLACE,15 HANOVER PLACE,11201,Brooklyn
Neighborhood Children's Center,1833,LEXINGTON AVENUE,1833 LEXINGTON AVENUE,10029,New York
Ywca Learning Center,610,LEXINGTON AVENUE,610 LEXINGTON AVENUE,10022,New York
Abraham Lincoln Hs,2110,MADISON AVENUE,2110 MADISON AVENUE,10037,New York
James Varick Day Care Center,151,WEST 136 STREET,151 WEST 136 STREET,10030,New York
The Children's Garden P/S,422,WEST 20 STREET,422 WEST 20 STREET,10011,New York
Riverschool Westside P/S,75,WEST END AVENUE,75 WEST END AVENUE,10023,New York
York Ave Pre-Sch & Kindergarten,1520,YORK AVENUE,1520 YORK AVENUE,10028,New York
A Child's Place Day School,32-20,108 STREET,32-20 108 STREET,11369,East Elmhurst
Treehouse Development Ctr. Corp.,168-40,127 AVENUE,168-40 127 AVENUE,11434,Jamaica
Holy Cross School,150-01,12 AVENUE,150-01 12 AVENUE,11357,Whitestone
